size_bytes;birth_epoch;birth;mtime_epoch;mtime;path
7419;1766391015;2025-12-22 09:10:15.175582356 +0100;1766302462;2025-12-21 08:34:22.000000000 +0100;./Dynamis_Solution.jpeg
158892;1766391015;2025-12-22 09:10:15.159581037 +0100;1766302464;2025-12-21 08:34:24.000000000 +0100;./archive/Livre_blanc_v2_extracted.txt
142228;1766391015;2025-12-22 09:10:15.155580707 +0100;1766302466;2025-12-21 08:34:26.000000000 +0100;./archive/Livre_blanc_v2.tex.bak
383362;1766391015;2025-12-22 09:10:15.160581119 +0100;1766302466;2025-12-21 08:34:26.000000000 +0100;./archive/Livre_blanc_v2.pdf.bak
173859;1766391015;2025-12-22 09:10:15.152580459 +0100;1766302466;2025-12-21 08:34:26.000000000 +0100;./archive/Livre_blanc_v3.tex.bak_monolith
3577;1766391015;2025-12-22 09:10:15.175582356 +0100;1766302462;2025-12-21 08:34:22.000000000 +0100;./RBK.png
1810;1766391015;2025-12-22 09:10:15.175582356 +0100;1766302462;2025-12-21 08:34:22.000000000 +0100;./check_empty_sections.py
0;1766393233;2025-12-22 09:47:13.844027865 +0100;1766393239;2025-12-22 09:47:19.300333671 +0100;./audit_files.csv
430;1766393030;2025-12-22 09:43:50.626532630 +0100;1766393030;2025-12-22 09:43:50.626532630 +0100;./Makefile
593;1766391015;2025-12-22 09:10:15.172582109 +0100;1766393008;2025-12-22 09:43:28.156412944 +0100;./.latexmkrc
400198;1766391015;2025-12-22 09:10:15.157580872 +0100;1766302466;2025-12-21 08:34:26.000000000 +0100;./releases/RBK Web3 Studio _ Vision Stratégique.pdf
112766;1766391015;2025-12-22 09:10:15.154580624 +0100;1766302466;2025-12-21 08:34:26.000000000 +0100;./releases/RBK Tunisia – Web3 Learning Journey.pdf
383362;1766391015;2025-12-22 09:10:15.173582191 +0100;1766302464;2025-12-21 08:34:24.000000000 +0100;./releases/Livre_blanc_v2.pdf
408509;1766391015;2025-12-22 09:10:15.163581367 +0100;1766302466;2025-12-21 08:34:26.000000000 +0100;./releases/Livre_blanc_v3.pdf
462089;1766391015;2025-12-22 09:10:15.183583016 +0100;1766291334;2025-12-21 05:28:54.000000000 +0100;./releases/Livre_blanc_v4_Scale_Impact.pdf
69563;1766391015;2025-12-22 09:10:15.157580872 +0100;1766302466;2025-12-21 08:34:26.000000000 +0100;./releases/Track_A_Solana_Rust_Anchor.pdf
53069;1766391015;2025-12-22 09:10:15.175582356 +0100;1766302462;2025-12-21 08:34:22.000000000 +0100;./releases/Capstones_Projets_Signatures.pdf
165421;1766391015;2025-12-22 09:10:15.171582026 +0100;1766302462;2025-12-21 08:34:22.000000000 +0100;./releases/RBK_Web3_Studio_DualTrack_EVM_Solana_v1.pdf
45569;1766391015;2025-12-22 09:10:15.167581697 +0100;1766302466;2025-12-21 08:34:26.000000000 +0100;./releases/Track_B_EVM_Solidity_Foundry.pdf
422167;1766391015;2025-12-22 09:10:15.167581697 +0100;1766302466;2025-12-21 08:34:26.000000000 +0100;./releases/Livre_blanc_v3_clean.pdf
